"","env","spa","codist","r2","iteration","site","identifier","richness"
"287",5.08026719657926e-05,7.0875865159684e-05,0,0.000121678537125477,"iter1","site287","site287_iter1",1
"288",0.000143867072249159,7.31383541886941e-06,0,0.000151180907668028,"iter1","site288","site288_iter1",1
"289",5.62081657057878e-05,0,0,5.62081657057878e-05,"iter1","site289","site289_iter1",0
"290",8.8938208378336e-05,5.64009009155121e-06,0,9.45782984698872e-05,"iter1","site290","site290_iter1",1
"291",3.56425094734702e-05,0,0,3.56425094734702e-05,"iter1","site291","site291_iter1",0
"292",0.000115220355910789,0,0,0.000115220355910789,"iter1","site292","site292_iter1",0
"293",0.000210444554842666,0,0,0.000210444554842666,"iter1","site293","site293_iter1",1
"294",0,6.05258971937975e-05,9.61197204076514e-07,6.1487094397874e-05,"iter1","site294","site294_iter1",0
"295",9.08243824737791e-06,9.19292140022467e-06,0,1.82753596476026e-05,"iter1","site295","site295_iter1",0
"296",4.2080569349792e-05,0,0,4.2080569349792e-05,"iter1","site296","site296_iter1",0
"297",0.000148168665598411,1.65779896541823e-05,0,0.000164746655252593,"iter1","site297","site297_iter1",1
"298",0.000163887616446035,5.56585300762455e-06,0,0.00016945346945366,"iter1","site298","site298_iter1",0
"299",0.000187587891648586,0,0,0.000187587891648586,"iter1","site299","site299_iter1",1
"300",0.000180678726442732,0,0,0.000180678726442732,"iter1","site300","site300_iter1",0
"301",5.21998559969916e-05,5.86513698999684e-05,0,0.00011085122589696,"iter1","site301","site301_iter1",0
"302",0.000203659380084159,1.99907472942465e-05,0,0.000223650127378406,"iter1","site302","site302_iter1",1
"303",1.28737663028322e-05,2.14133061576053e-05,0,3.42870724604374e-05,"iter1","site303","site303_iter1",0
"304",1.3840464976221e-05,9.84491242946236e-07,0,1.48249562191673e-05,"iter1","site304","site304_iter1",0
"305",1.5635801030104e-05,0,0,1.5635801030104e-05,"iter1","site305","site305_iter1",0
"306",0.000269545514556174,2.6036187285446e-06,0,0.000272149133284719,"iter1","site306","site306_iter1",1
"307",0.000113836402185475,0,0,0.000113836402185475,"iter1","site307","site307_iter1",1
"308",4.55887731477252e-05,0,0,4.55887731477252e-05,"iter1","site308","site308_iter1",0
"309",0.000152100153725731,0,0,0.000152100153725731,"iter1","site309","site309_iter1",1
"310",0,4.15992770967694e-05,0,4.15992770967694e-05,"iter1","site310","site310_iter1",0
"311",0.000107054756692954,0,0,0.000107054756692954,"iter1","site311","site311_iter1",0
"312",2.89134967971682e-05,0,0,2.89134967971682e-05,"iter1","site312","site312_iter1",1
"313",5.5837612634601e-05,0,0,5.5837612634601e-05,"iter1","site313","site313_iter1",1
"314",5.12954330371826e-05,0,5.39011820715114e-07,5.18344448578977e-05,"iter1","site314","site314_iter1",1
"315",5.42781900105409e-05,5.87091509456786e-06,0,6.01491051051087e-05,"iter1","site315","site315_iter1",1
"316",0,1.91307423441114e-05,3.3735771504013e-06,2.25043194945127e-05,"iter1","site316","site316_iter1",0
"317",0.000200971590729229,0,0,0.000200971590729229,"iter1","site317","site317_iter1",0
"318",2.38791734353164e-06,3.22376884401309e-06,1.50085576374633e-06,7.11254195129106e-06,"iter1","site318","site318_iter1",0
"319",0.000177971909466384,0,0,0.000177971909466384,"iter1","site319","site319_iter1",0
"320",2.07868478244705e-05,1.35306116600079e-05,0,3.43174594844784e-05,"iter1","site320","site320_iter1",0
"321",4.62261356223067e-05,9.58265486307177e-05,0,0.000142052684253024,"iter1","site321","site321_iter1",0
"322",8.575155904656e-06,0,0,8.575155904656e-06,"iter1","site322","site322_iter1",0
"323",0,3.17275396813176e-06,8.72077054806581e-07,4.04483102293835e-06,"iter1","site323","site323_iter1",0
"324",0.00026152639620443,0,0,0.00026152639620443,"iter1","site324","site324_iter1",0
"325",0.000110774163034115,0,0,0.000110774163034115,"iter1","site325","site325_iter1",1
"326",0.000152604771659819,0,0,0.000152604771659819,"iter1","site326","site326_iter1",1
"327",9.38342771115678e-05,0,0,9.38342771115678e-05,"iter1","site327","site327_iter1",0
"328",5.91923273906394e-05,2.33338760592052e-06,0,6.15257149965599e-05,"iter1","site328","site328_iter1",0
"329",4.13268025432562e-05,0,0,4.13268025432562e-05,"iter1","site329","site329_iter1",1
"330",8.67183233143811e-05,0.000147914079933128,5.8236565204893e-07,0.000235214768899558,"iter1","site330","site330_iter1",1
"331",0.00023291931268615,0,0,0.00023291931268615,"iter1","site331","site331_iter1",1
"332",5.59149884240635e-05,6.54422929055044e-05,0,0.000121357281329568,"iter1","site332","site332_iter1",1
"333",2.34279402473397e-05,1.15673425042282e-05,0,3.49952827515679e-05,"iter1","site333","site333_iter1",0
"334",8.24042026615617e-05,0,0,8.24042026615617e-05,"iter1","site334","site334_iter1",1
"335",0.000239768625631624,4.03842128394809e-05,0,0.000280152838471105,"iter1","site335","site335_iter1",1
"336",2.11447018019307e-05,6.0092932482974e-07,0,2.17456311267604e-05,"iter1","site336","site336_iter1",0
"337",1.36923976471822e-05,9.05955875369522e-06,0,2.27519564008774e-05,"iter1","site337","site337_iter1",0
"338",0.000144706324412286,2.12728580327885e-05,0,0.000165979182445074,"iter1","site338","site338_iter1",1
"339",3.05353542616068e-05,5.23998929919026e-05,1.27937206043814e-06,8.42146193139476e-05,"iter1","site339","site339_iter1",1
"340",0.000175059259331313,0,0,0.000175059259331313,"iter1","site340","site340_iter1",0
"341",0.000210606085291309,0,0,0.000210606085291309,"iter1","site341","site341_iter1",1
"342",0.000108967466172299,0,0,0.000108967466172299,"iter1","site342","site342_iter1",1
"343",9.63321249924534e-06,0,0,9.63321249924534e-06,"iter1","site343","site343_iter1",0
"344",1.56434909046408e-05,0,0,1.56434909046408e-05,"iter1","site344","site344_iter1",1
"345",4.85722990798789e-05,1.86630357768669e-06,6.6208681901772e-08,5.05048113394674e-05,"iter1","site345","site345_iter1",1
"346",9.15648794998903e-05,0.000122831057763009,0,0.000214395937262899,"iter1","site346","site346_iter1",1
"347",0,1.55395087422766e-05,7.32037438607686e-07,1.62715461808843e-05,"iter1","site347","site347_iter1",0
"348",0,2.17000260161415e-05,0,2.17000260161415e-05,"iter1","site348","site348_iter1",0
"349",1.10418867115266e-05,8.90682672155267e-06,0,1.99487134330792e-05,"iter1","site349","site349_iter1",1
"350",5.22160944651759e-05,7.80658469984397e-05,1.17943475038558e-06,0.000131461376214001,"iter1","site350","site350_iter1",1
"351",1.52234674949171e-05,1.50685317471939e-05,0,3.0291999242111e-05,"iter1","site351","site351_iter1",1
"352",0.000203030292763916,0,0,0.000203030292763916,"iter1","site352","site352_iter1",1
"353",7.17063933072901e-05,0,0,7.17063933072901e-05,"iter1","site353","site353_iter1",0
"354",0,6.01247003660987e-05,5.61108166172932e-06,6.5735782027828e-05,"iter1","site354","site354_iter1",0
"355",0.000205049765447524,0,0,0.000205049765447524,"iter1","site355","site355_iter1",0
"356",4.70672736515727e-05,0,0,4.70672736515727e-05,"iter1","site356","site356_iter1",1
"357",0.000151871989533203,3.1678465101662e-05,0,0.000183550454634865,"iter1","site357","site357_iter1",1
"358",0.00019944822741901,0,0,0.00019944822741901,"iter1","site358","site358_iter1",0
"359",7.55927685285442e-05,0,0,7.55927685285442e-05,"iter1","site359","site359_iter1",1
"360",4.80193734509653e-06,8.75601229528002e-06,0,1.35579496403766e-05,"iter1","site360","site360_iter1",0
"361",0.000152740022100974,0,0,0.000152740022100974,"iter1","site361","site361_iter1",0
"362",1.18021162390388e-05,9.79734877677513e-06,1.91831997628804e-06,2.3517784992102e-05,"iter1","site362","site362_iter1",0
"363",5.59447876839174e-05,0,0,5.59447876839174e-05,"iter1","site363","site363_iter1",1
"364",5.36888903271891e-05,5.23151301736569e-05,1.15165464051687e-06,0.000107155675141363,"iter1","site364","site364_iter1",1
"365",1.35096238152611e-05,2.11249160560538e-05,0,3.46345398713149e-05,"iter1","site365","site365_iter1",0
"366",6.05264436245566e-05,0,0,6.05264436245566e-05,"iter1","site366","site366_iter1",0
"367",0.000147752465624824,0,0,0.000147752465624824,"iter1","site367","site367_iter1",1
"368",4.84358100999696e-05,0,0,4.84358100999696e-05,"iter1","site368","site368_iter1",1
"369",3.70580833134665e-05,6.62648505076543e-05,0,0.000103322933821121,"iter1","site369","site369_iter1",0
"370",7.85218713938679e-06,9.78718920655338e-05,1.19054943832052e-06,0.000106914628643241,"iter1","site370","site370_iter1",1
"371",0,6.09000731355823e-05,5.94173684115619e-06,6.68418099767385e-05,"iter1","site371","site371_iter1",0
